date,nav,fund_name,fund_code,category,short_name
2013-01-02,16.83,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-03,16.86,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-04,16.88,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-07,16.8,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-08,16.84,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-09,16.8,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-10,16.78,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-11,16.72,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-14,16.92,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-15,17.03,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-16,16.89,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-17,17.01,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-18,17.02,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-21,17.06,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-22,16.96,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-23,17.0,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-24,16.85,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-25,16.98,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-28,17.04,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-29,16.93,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-30,16.93,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-01-31,16.89,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-01,16.88,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-04,16.83,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-05,16.72,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-06,16.74,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-07,16.68,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-08,16.63,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-11,16.59,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-12,16.6798,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-13,16.7595,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-14,16.6197,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-15,16.6134,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-18,16.6177,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-19,16.7325,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-20,16.7554,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-21,16.5001,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
2013-02-22,16.5206,SBI Large Cap FUND-DIRECT PLAN -GROWTH,119598,Large Cap,SBI Bluechip
